SMILES,PID,Polymer Class,Tg
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,P170049,Polysiloxanes/silanes,-72
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,P170050,Polysiloxanes/silanes,-62
*O[Si](O[Si](C)(C)c1ccc([Si](*)(C)C)cc1)(c1ccccc1)c1ccccc1,P170051,Polysiloxanes/silanes,0
*O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,P170064,Polysiloxanes/silanes,-18
*O[Si](*)(C)CCC,P170071,Polysiloxanes/silanes,-120
*O[Si](*)(C)CCCCCCCC,P170072,Polysiloxanes/silanes,-92
*O[SiH](*)C,P170073,Polysiloxanes/silanes,-3.39
*O[Si](*)(C)CC,P170074,Polysiloxanes/silanes,-133
*C/C=C/C[Si](*)(C)C,P170077,Polysiloxanes/silanes,-57.5
*C/C=C/C[Si](*)(C)c1ccccc1,P170078,Polysiloxanes/silanes,-1
*C/C=C/C[Si](*)(CCCOc1ccccc1)c1ccccc1,P170080,Polysiloxanes/silanes,-5
*C/C=C/C[Si](*)(C)CCCOc1ccc2ccccc2c1,P170081,Polysiloxanes/silanes,-1
*C/C=C/C[Si](*)(C)CCCOc1ccc(-c2ccccc2)cc1,P170082,Polysiloxanes/silanes,10
*C/C=C/C[Si](*)(C)CCCOc1ccccc1,P170083,Polysiloxanes/silanes,-30
*O[Si](*)(C)CCCCOc1ccc(-c2ccc(C#N)cc2)cc1,P174325,Polysiloxanes/silanes,22.5
*O[Si](*)(C)CCCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2C)cc1,P174326,Polysiloxanes/silanes,5.5
*C[Si](*)(C)CCCCCC,P174327,Polysiloxanes/silanes,-77.6
*O[Si](*)(C)CCCCCC,P174328,Polysiloxanes/silanes,-110.85
*C[Si](*)(C)CCCN(CC)CC,P174329,Polysiloxanes/silanes,-31.75
*C[Si](*)(C)CCCn1c2ccccc2c2ccccc21,P174330,Polysiloxanes/silanes,71.2
*O[Si](*)(C)CCCn1c2ccccc2c2ccccc21,P174331,Polysiloxanes/silanes,55.45
*C[Si](*)(C)CCCOCCOCCOC,P174332,Polysiloxanes/silanes,-73.3
*O[Si](*)(C)CCCOCCOCCOC,P174333,Polysiloxanes/silanes,-90.1
*C[Si](*)(CCC)CCC,P174481,Polysiloxanes/silanes,-41
*C[Si](*)(CCCC)CCCC,P174482,Polysiloxanes/silanes,-30
*C[Si](*)(CCCCC)CCCCC,P174483,Polysiloxanes/silanes,-55
*C[Si](*)(CCCCCC)CCCCCC,P174484,Polysiloxanes/silanes,-56
*N=P(*)(OC)OC,P180001,"Polyphosphazenes, Polyimines",-66.8
*N=P(*)(OCC)OCC,P180002,"Polyphosphazenes, Polyimines",-84
*N=P(*)(OCCC)OCCC,P180003,"Polyphosphazenes, Polyimines",-84
*N=P(*)(OCCCC)OCCCC,P180004,"Polyphosphazenes, Polyimines",-105
*N=P(*)(OCCC)OCCCCC,P180005,"Polyphosphazenes, Polyimines",-100
*N=P(*)(OCCCCC)OCCCCC,P180006,"Polyphosphazenes, Polyimines",-104
*N=P(*)(OCCCCCC)OCCCCCC,P180007,"Polyphosphazenes, Polyimines",-104
*N=P(*)(OCCCCCCC)OCCCCCCC,P180008,"Polyphosphazenes, Polyimines",-94
*N=P(*)(OCCCCCCCC)OCCCCCCCC,P180009,"Polyphosphazenes, Polyimines",-84
*N=P(*)(OCCCCCCCCC)OCCCCCCCCC,P180010,"Polyphosphazenes, Polyimines",-56
*N=P(*)(OCCCCCCCCCC)OCCCCCCCCCC,P180011,"Polyphosphazenes, Polyimines",-44
*N=P(*)(Oc1ccccc1)Oc1ccccc1,P180012,"Polyphosphazenes, Polyimines",-8
*N=P(*)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,P180013,"Polyphosphazenes, Polyimines",85
*N=P(*)(OCc1ccccc1)OCc1ccccc1,P180014,"Polyphosphazenes, Polyimines",-31.4
*N=P(*)(OCc1ccc(-c2ccccc2)cc1)OCc1ccc(-c2ccccc2)cc1,P180015,"Polyphosphazenes, Polyimines",60
*N=P(*)(OCCc1ccccc1)OCCc1ccccc1,P180016,"Polyphosphazenes, Polyimines",-32.7
*N=P(*)(OCCCc1ccccc1)OCCCc1ccccc1,P180017,"Polyphosphazenes, Polyimines",-47
*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,P180019,"Polyphosphazenes, Polyimines",-66
*N=P(*)(OCC(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)F,P180020,"Polyphosphazenes, Polyimines",-52.5
*N=P(*)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P180021,"Polyphosphazenes, Polyimines",-40
*N=P(*)(Oc1ccc(F)cc1)Oc1ccc(F)cc1,P180022,"Polyphosphazenes, Polyimines",-4
*N=P(*)(Oc1cccc(C(F)(F)F)c1)Oc1cccc(C(F)(F)F)c1,P180023,"Polyphosphazenes, Polyimines",-35
*N=P(*)(OCc1ccc(Br)cc1)OCc1ccc(Br)cc1,P180024,"Polyphosphazenes, Polyimines",-0.8
*N=P(*)(OCCOC)OCCOC,P180025,"Polyphosphazenes, Polyimines",-78
*N=P(*)(OCCOCCOC)OCCOCCOC,P180026,"Polyphosphazenes, Polyimines",-81
*N=P(*)(OCCOCCOCC)OCCOCCOCC,P180027,"Polyphosphazenes, Polyimines",-78
*N=P(*)(OCCOCCOCCCC)OCCOCCOCCCC,P180028,"Polyphosphazenes, Polyimines",-84
*N=P(*)(NCC)NCC,P180029,"Polyphosphazenes, Polyimines",30
*N=P(*)(N(C)C)N(C)C,P180030,"Polyphosphazenes, Polyimines",-4
*N=P(*)(N1CCCCC1)N1CCCCC1,P180031,"Polyphosphazenes, Polyimines",19
*N=P(*)(Nc1ccccc1)Nc1ccccc1,P180032,"Polyphosphazenes, Polyimines",103.45
*N=P(*)(Cl)Cl,P180033,"Polyphosphazenes, Polyimines",-63
*N=P(*)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,P180034,"Polyphosphazenes, Polyimines",4
*N=P(*)(Oc1ccc(Cl)cc1Cl)Oc1ccc(Cl)cc1Cl,P180035,"Polyphosphazenes, Polyimines",2
*N=P(*)(Oc1ccc(C)c(C)c1)Oc1ccc(C)c(C)c1,P180036,"Polyphosphazenes, Polyimines",-1.5
*N=P(*)(Oc1ccc(C(C)C)cc1)Oc1ccc(C(C)C)cc1,P180037,"Polyphosphazenes, Polyimines",0
*N=P(*)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,P180038,"Polyphosphazenes, Polyimines",5
*N=P(*)(C)C,P180040,"Polyphosphazenes, Polyimines",-42
*N=P(*)(Oc1ccc2ccccc2c1)Oc1ccc2ccccc2c1,P180041,"Polyphosphazenes, Polyimines",47
*N=P(*)(Oc1cccc(C)c1)Oc1cccc(C)c1,P180042,"Polyphosphazenes, Polyimines",-25
*=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=*)Cl,P180043,"Polyphosphazenes, Polyimines",-21
*N=P1(*)Oc2ccccc2-c2ccccc2O1,P189026,"Polyoxides/ethers/acetals, Polyphosphazenes, Polyimines",160
*CCC(*)=O,P190001,Polyketones/thioketones,15
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,P190003,"Polyoxides/ethers/acetals, Polyketones/thioketones",154
*OS(=O)(=O)c1cccc(C(=O)c2cccc(S(=O)(=O)Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)c2)c1,P190004,"Polyketones/thioketones, Polysulfones/sulfoxides/sufonates/sulfoamides",122
*OS(=O)(=O)c1cccc(S(=O)(=O)Oc2ccc(C(C)(C)c3ccc(*)cc3)cc2)c1,P200001,Polysulfones/sulfoxides/sufonates/sulfoamides,124
*C1CCCCC1S(*)(=O)=O,P200009,Polysulfones/sulfoxides/sufonates/sulfoamides,77
*C1CCCC(S(*)(=O)=O)C1,P200010,Polysulfones/sulfoxides/sufonates/sulfoamides,108
*OS(=O)(=O)c1ccc(*)cc1,P200011,Polysulfones/sulfoxides/sufonates/sulfoamides,119
*CC(C)(C)CS(*)(=O)=O,P200016,Polysulfones/sulfoxides/sufonates/sulfoamides,108.5
*c1ccc(Cc2ccc(S(*)(=O)=O)cc2)cc1,P200018,Polysulfones/sulfoxides/sufonates/sulfoamides,227.5
*c1ccc(*)cc1,P210001,Polyphenylenes,291.5
*c1ccc(C(*)C)cc1,P210003,Polyphenylenes,93
*CCc1ccc(*)cc1,P210006,Polyphenylenes,65
*CCc1cccc(*)c1,P210007,Polyphenylenes,9
*CCc1ccc(*)c(C)c1,P210008,Polyphenylenes,57.5
*CCc1ccc(*)c(CC)c1,P210009,Polyphenylenes,25
*CCc1cc(C)c(*)cc1C,P210010,Polyphenylenes,100
*CCCc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210011,Polyphenylenes,290
*CCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210012,Polyphenylenes,240
*CCCCc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210013,Polyphenylenes,205
*CCCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210014,Polyphenylenes,180
*CCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210015,Polyphenylenes,250
*CCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210016,Polyphenylenes,215
*CCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210017,Polyphenylenes,235
*CCCCCCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210018,Polyphenylenes,185
*CCCCCCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210019,Polyphenylenes,160
*CCc1ccc(*)c(C#N)c1,P210020,Polyphenylenes,90
*CCc1ccc(*)c(Cl)c1,P210021,Polyphenylenes,75
*CCc1ccc(*)c(Br)c1,P210022,Polyphenylenes,80
*CCc1ccc(*)c2ccccc12,P210024,Other polymers,160
*c1cccc(*)c1,P210026,Polyphenylenes,104.93
*/C=C/c1ccc(*)cc1,P210027,Polyphenylenes,240
*c1ccc(C(F)(F)C(*)(F)F)cc1,P210042,Other polymers,76.95
*c1cccc(-c2cccc(C(F)(F)C(F)(F)C(*)(F)F)c2)c1,P210043,Other polymers,45
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,P210044,Polyphenylenes,160
*c1cccc(C(F)(F)C(F)(F)C(*)(F)F)c1,P210045,Other polymers,29
*CCCCCCCCCCc1ccc(-c2c(-c3ccccc3)cc(-c3cccc(-c4cc(-c5ccccc5)c(-c5ccc(*)cc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,P210047,Polyphenylenes,180
*CCc1cc(Cl)c(*)c(Cl)c1,P210060,Polyphenylenes,110
*C1c2cccc3cccc(c23)C1*,P219039,Polydienes,250
*CCC(C)(C)C(*)(C)C,P310005,Polyolefins,87
*C([2H])([2H])C(*)([2H])C([2H])([2H])[2H],P310010,Polyolefins,0
*CCC1CC(*)C2CCCC12,P310012,Polyolefins,101
*CCCC(*)C,P310015,Polyolefins,-52.6
*CC(*)C1CCCCC1C,P312001,Polyolefins,186
*CC(*)C1CCC(C(C)(C)C)CC1,P312002,Polyolefins,131
*CCCCCC(*)C,P312004,Polyolefins,-66
*CCCCCC(*)CC,P312005,Polyolefins,-73
*CCCCCC(*)CCC,P312006,Polyolefins,-68
*CCCCCC(*)CCCC,P312007,Polyolefins,-69
*CCCCCC(*)CCCCCC,P312008,Polyolefins,-76
*CCCCCC(*)CCCCCCCC,P312009,Polyolefins,-72
*CCCCCC(*)CCCCCCCCCC,P312010,Polyolefins,-65
*CC(*)CCCCCCCCCCCCCCCCCC,P312014,Polyolefins,-88
*C1CCC(*)C1,P312022,Polyolefins,65.1
*C1C2CCC(C2)C1*,P312024,Polyolefins,240
*CCC([2H])C(*)([2H])C,P312030,Polyolefins,-47.5
*C1C2CC(C)C(C2)C1*,P312031,Polyolefins,350
*C1CC2CC1C(*)C2CCCC,P312034,Polyolefins,235
*C1CC2CC1C(*)C2CCCCCC,P312035,Polyolefins,252
*CCC1CC(*)C2C3CC(CC)C(C3)C12,P312038,Polyolefins,138
*CCC1CC(*)C2C3CCC(C3)C12,P312042,Polyolefins,164
*CC(*)c1ccc(C(=O)OCCN(CC)CC)cc1,P320001,"Polystyrenes, Polyvinyls",74
*CC(*)c1ccc(/C(Cc2ccccc2)=N/O)cc1,P320002,"Polystyrenes, Polyvinyls",111
*CC(*)c1ccccc1COCCCCCCCC,P320003,"Polystyrenes, Polyvinyls",13
*CC(*)c1ccc(C(O)C(F)(F)F)cc1,P320006,"Polystyrenes, Polyvinyls",110
*CC(*)(C)c1ccc2ccccc2n1,P320016,"Polystyrenes, Polyvinyls",193
*CC(*)c1ccc([Si](C)(C)OC(C)C)cc1,P320017,"Polystyrenes, Polyvinyls",180
*CC(*)c1cccc(OC(C)=O)c1,P320018,"Polystyrenes, Polyvinyls",76
*CC(*)c1cccc(NC(C)=O)c1,P320019,"Polystyrenes, Polyvinyls",163
*CC(*)(C)c1ccc2ccccc2c1,P320020,"Polystyrenes, Polyvinyls",208
*CC(*)c1ccc(C([Sn](C)(C)C)[Sn](C)(C)C)cc1,P320023,"Polystyrenes, Polyvinyls",140
*CC(*)c1ccc(C([Si](C)(C)C)[Si](C)(C)C)cc1,P320024,"Polystyrenes, Polyvinyls",156
*CC(*)c1ccc(C[Si](C)(C)C)cc1,P320025,"Polystyrenes, Polyvinyls",82
*CC(*)c1c([2H])c([2H])c([2H])c([2H])c1[2H],P320026,"Polystyrenes, Polyvinyls",100
*CC(CC(*)(C#N)C#N)c1ccc(OC(C)=O)cc1,P320057,"Polystyrenes, Polyvinyls",180
*CC(CC(*)(C#N)C#N)c1ccc(F)cc1,P320058,"Polystyrenes, Polyvinyls",180
*CC(CC(*)(C#N)C#N)c1ccc(Cl)cc1,P320059,"Polystyrenes, Polyvinyls",180
*CC(CC(*)(C#N)C#N)c1ccc(CCl)cc1,P320060,"Polystyrenes, Polyvinyls",180
*CC(*)c1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P320063,"Polystyrenes, Polyvinyls",13
*CC(*)c1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P320064,"Polystyrenes, Polyvinyls",55
*CC(*)c1ccc([Si](C)(C)O[Si](C)(C)C)cc1,P322001,"Polystyrenes, Polyvinyls",35.5
*CC(*)c1ccccc1O,P322002,"Polystyrenes, Polyvinyls",172
*CC(*)c1cccc(O)c1,P322003,"Polystyrenes, Polyvinyls",169
*CC(*)c1cc(OC)c(OC(C)=O)c(OC)c1,P322004,"Polystyrenes, Polyvinyls",147
*CC(*)c1cc(OC)c(O)c(OC)c1,P322005,"Polystyrenes, Polyvinyls",147
*CC(*)c1ccc(COc2ccc(-c3ccc(C#N)cc3)cc2)cc1,P322009,"Polystyrenes, Polyvinyls",132
*CC(*)c1ccc(Cl)c([N+](=O)[O-])c1,P322010,"Polystyrenes, Polyvinyls",132.9
*CC(*)c1ccccc1Br,P322011,"Polystyrenes, Polyvinyls",149
*C(c1ccc(N(C)C)cc1)C(*)c1ccc([N+](=O)[O-])cc1,P322012,"Polystyrenes, Polyvinyls",139
*CCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322014,"Polystyrenes, Polyvinyls",25
*CCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322015,"Polystyrenes, Polyvinyls",16
*CCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322016,"Polystyrenes, Polyvinyls",18
*CCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322017,"Polystyrenes, Polyvinyls",4
*CCCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322018,"Polystyrenes, Polyvinyls",-12
*CCCCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322019,"Polystyrenes, Polyvinyls",-1
*CCCCCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322020,"Polystyrenes, Polyvinyls",-4
*CCCCCCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322021,"Polystyrenes, Polyvinyls",4
*CCCCCCCCCCCCC(c1ccc(O)cc1)C(*)c1ccc(O)cc1C,P322022,"Polystyrenes, Polyvinyls",-1
*CC(*)c1cccc(Br)c1,P322025,"Polystyrenes, Polyvinyls",102
*CC(*)c1ccc(OC(C)=O)c(OC)c1,P322026,"Polystyrenes, Polyvinyls",115
*CC(*)c1ccc(O)c(OC)c1,P322027,"Polystyrenes, Polyvinyls",142
*CC(*)c1ccc(COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P322031,"Polystyrenes, Polyvinyls",18
*CC(*)c1ccc([Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)cc1,P322032,"Polystyrenes, Polyvinyls",-27
*CC(*)c1ccc([Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)cc1,P322033,"Polystyrenes, Polyvinyls",54
*CC(*)c1ccc([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)cc1,P322034,"Polystyrenes, Polyvinyls",114
*CC(*)c1ccc(CCl)cc1,P322039,"Polystyrenes, Polyvinyls",113.5
*CC(*)c1ccc(OP2(OCCOCCOCCOC)=NP(OCCOCCOCCOC)(OCCOCCOCCOC)=NP(OCCOCCOCCOC)(OCCOCCOCCOC)=N2)cc1,P322043,"Polystyrenes, Polyvinyls",-46
*CC(*)(C)c1ccc(C(O)C(F)(F)F)cc1,P322044,"Polystyrenes, Polyvinyls",199
*CC(*)c1ccc([Si](C)(C)O)cc1,P322051,"Polystyrenes, Polyvinyls",147
*CC(*)c1ccccc1OC(C)=O,P322056,"Polystyrenes, Polyvinyls",118
*CC(*)c1ccc([SiH](C)C)cc1,P322057,"Polystyrenes, Polyvinyls",105
*CC(*)c1ccc(Cn2c3ccccc3c3ccccc32)cc1,P322058,"Polystyrenes, Polyvinyls",166
*CCC(c1ccccc1)C(*)c1ccccc1,P322082,"Polystyrenes, Polyvinyls",104.3
*CC(*)c1cc(C(=O)Oc2ccc(OC)cc2)ccc1C(=O)Oc1ccc(OC)cc1,P322090,"Polystyrenes, Polyvinyls",115
*CC(*)c1c(F)c(F)c(OCC(F)(F)C(F)(F)F)c(F)c1F,P322093,"Polystyrenes, Polyvinyls",61
*CC(*)c1c(F)c(F)c(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(F)c1F,P322094,"Polystyrenes, Polyvinyls",21
*CC(*)c1c(F)c(F)c(OC)c(F)c1F,P322095,"Polystyrenes, Polyvinyls",94
*CCC1CC(*)C2C3CC(c4ccc(COC(C)CC)cc4)C(C3)C12,P322110,"Polystyrenes, Polyvinyls",139
*CC(*)c1ccc(OCCOCCOC(C)=O)cc1,P322111,"Polystyrenes, Polyvinyls",-3
*CC(*)c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1C(=O)Oc1ccc(OCCCC)cc1,P322112,"Polystyrenes, Polyvinyls",103.6
*CC(*)(C)c1nc(N(CCOCCOCCOC)CCOCCOCCOC)nc(N(CCOCCOCCOC)c2ccccc2)n1,P322114,"Polystyrenes, Polyvinyls",-75
*CC(*)c1ccc(B(Oc2ccc(B3OC(C)(C)C(C)(C)O3)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,P322121,"Polystyrenes, Polyvinyls",275
*CC(*)c1ccc(B(Oc2ccc(-c3c(F)c(F)c(F)c(F)c3F)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,P322122,"Polystyrenes, Polyvinyls",245
*CC(*)c1ccc(B(Oc2cccc3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,P322123,"Polystyrenes, Polyvinyls",240
*CC(*)c1ccc(B(Oc2ccc(Cl)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,P322124,"Polystyrenes, Polyvinyls",238
*CC(*)c1ccc(B(Oc2ccc(-c3ccc(OC)cc3)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,P322125,"Polystyrenes, Polyvinyls",220
*CC(*)c1ccc(B(Oc2ccc(-c3ccc(N(C)C)cc3)c3cccnc23)c2ccc(C(C)(C)C)cc2)cc1,P322126,"Polystyrenes, Polyvinyls",230
*CC(*)c1ccc(N(c2ccccc2)c2ccccc2)cc1,P322128,"Polystyrenes, Polyvinyls",123.5
*CCC(*)(C)c1ccccc1,P322137,"Polystyrenes, Polyvinyls",93
*CC(*)c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2ccccc2-3)cc1,P322140,"Polystyrenes, Polyvinyls",81.25
*CC(*)c1ccc(-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4ccccc4-5)ccc2-3)cc1,P322141,"Polystyrenes, Polyvinyls",78.6
*CC(*)c1cc[n+](CCCCCCCC)cc1,P322144,"Polystyrenes, Polyvinyls",206.2
*CC(*)c1cc(-c2ccc(C(=O)OC(C)CC)cc2)ccc1-c1ccc(C(=O)OC(C)CC)cc1,P322146,"Polystyrenes, Polyvinyls",212.5
*CC(*)c1cc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)ccc1-c1ccc(C(=O)OC(C)CCCCCC)cc1,P322147,"Polystyrenes, Polyvinyls",102
*CC(*)c1cc(-c2ccc(C(=O)OC3CC(C)CCC3C(C)C)cc2)ccc1-c1ccc(C(=O)OC2CC(C)CCC2C(C)C)cc1,P322148,"Polystyrenes, Polyvinyls",217.5
*CC(*)c1ccc(COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P322152,"Polystyrenes, Polyvinyls",23
*CC(*)c1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,P322153,"Polystyrenes, Polyvinyls",23
*CC(*)c1cccc(N(c2ccc(C)cc2)c2ccc(C)cc2)c1,P322154,"Polystyrenes, Polyvinyls",126.5
*CC(*)c1ccc(-c2cccc3nsnc23)cc1,P322155,"Polystyrenes, Polyvinyls",150
*CC(*)c1ccc(COc2ccc(-c3ccc(-c4ccc(C)cc4)c4nsnc34)cc2)cc1,P322156,"Polystyrenes, Polyvinyls",117
*CC(*)c1ccc(COc2ccc(-c3ccc(-c4ccc(C)s4)c4nsnc34)cc2)cc1,P322157,"Polystyrenes, Polyvinyls",130
*CC(*)c1ccc(COc2ccc(-c3ccc(-c4ccc(-c5ccc(CCCCCC)s5)s4)c4nsnc34)cc2)cc1,P322158,"Polystyrenes, Polyvinyls",122
*CC(*)c1cc(C(=O)OC)ccc1-c1ccc(OCCCCCCCC)cc1,P322161,"Polystyrenes, Polyvinyls",126
*CC(*)c1cc(C(=O)OCC)ccc1-c1ccc(OCCCCCCCC)cc1,P322162,"Polystyrenes, Polyvinyls",95
*CC(*)c1cc(C(=O)OCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,P322163,"Polystyrenes, Polyvinyls",74
*CC(*)c1cc(C(=O)OCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,P322164,"Polystyrenes, Polyvinyls",64
*CC(*)c1cc(C(=O)OCCCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,P322165,"Polystyrenes, Polyvinyls",57
*CC(*)c1cc(C(=O)OCCCCCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,P322166,"Polystyrenes, Polyvinyls",44
*CC(*)c1cc(C(=O)OCCCCCCCCCCCC)ccc1-c1ccc(OCCCCCCCC)cc1,P322167,"Polystyrenes, Polyvinyls",42
*CC(*)c1c(F)c(F)c(P(=O)(O)O)c(F)c1F,P322168,"Polystyrenes, Polyvinyls",330
*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,P322169,"Polystyrenes, Polyvinyls",112
*CC(*)c1ccccc1C(F)(F)F,P322170,"Polystyrenes, Polyvinyls",165
*CC(*)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,P322172,"Polystyrenes, Polyvinyls",116
*CC(*)c1ccccc1,P322231,"Polystyrenes, Polyvinyls",99.9
*CC(*)c1ccccn1,P322232,"Polystyrenes, Polyvinyls",105
*CC(*)OC(=O)C(Cl)(Cl)Cl,P330001,Polyvinyls,59
*CC(*)P(=O)(N(C)C)N(C)C,P330002,Polyvinyls,25
*CC(*)OC(=O)c1nn(C(C)=O)c2ccccc12,P330005,Polyvinyls,150
*CC(*)[Si](C)(C)C,P330016,Polyvinyls,137
*CC(*)OC(=O)OC([2H])([2H])[2H],P330040,Polyvinyls,55
*CC(*)OC(=O)OCC(Cl)(Cl)Cl,P330041,Polyvinyls,74
*CC(*)OC(=O)OCC(F)(F)F,P330042,Polyvinyls,57
*CC(*)OC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P330043,Polyvinyls,37
*/C(CC)=C(/*)c1ccccc1,P330044,Polyvinyls,200
*/C(CCCCCC)=C(/*)c1ccccc1,P330045,Polyvinyls,200
*/C(Cl)=C(/*)c1ccccc1,P330046,Polyvinyls,215
*/C(Cl)=C(/*)CCCC,P330047,"Polyvinyls, Polydienes",190
*/C(Cl)=C(/*)CCCCCC,P330048,"Polyvinyls, Polydienes",150
*/C(Cl)=C(/*)CCCCCCCC,P330049,"Polyvinyls, Polydienes",90
*/C(C)=C(/*)[Si](C)(C)CCCCCC,P330050,Polyvinyls,200
*/C(C)=C(/*)[Si](C)(C)C[Si](C)(C)C,P330051,Polyvinyls,200
*/C(C)=C(/*)[Si](C)(C)CC[Si](C)(C)C,P330052,Polyvinyls,200
*/C=C(/*)C(CCCCC)[Si](C)(C)C,P330053,Polyvinyls,170
*/C=C(/*)C(CCCCCCC)[Si](C)(C)C,P330054,Polyvinyls,150
